n_estimators,accuracy,f1_score,recall,roc_auc,,,accuracy,f1_score,recall,roc_auc
84,0.982623805,0.909502262,0.873913043,0.988773712,,,,,,
85,0.98305821,0.911564626,0.873913043,0.988884925,,,,,,
86,0.982189401,0.906605923,0.865217391,0.988882827,,,,,,
87,0.982623805,0.908675799,0.865217391,0.988782105,,,,,,
88,0.982623805,0.909090909,0.869565217,0.988628924,,,,,,
89,0.982623805,0.908675799,0.865217391,0.989170304,,,,,,
90,0.982189401,0.906605923,0.865217391,0.989111549,,,,,,
91,0.982189401,0.906605923,0.865217391,0.989098959,,,,,,
92,0.982189401,0.906605923,0.865217391,0.988977254,,,,,,
93,0.982189401,0.906605923,0.865217391,0.989203878,,,,,,
94,0.982189401,0.906605923,0.865217391,0.989048598,,,,,,
95,0.982623805,0.908675799,0.865217391,0.988874433,,,,,,
96,0.982623805,0.908675799,0.865217391,0.989340272,,,,,,
97,0.98305821,0.910755149,0.865217391,0.989323485,,,,,,
98,0.98305821,0.910755149,0.865217391,0.98931719,,,,,,
99,0.983492615,0.913242009,0.869565217,0.989229058,,,,,,
100,0.983492615,0.913242009,0.869565217,0.989155615,,,,,,
101,0.98305821,0.911161731,0.869565217,0.989080074,,,,,,
102,0.98305821,0.911161731,0.869565217,0.989212271,,,,,,
103,0.98305821,0.911161731,0.869565217,0.989273124,,,,,,
104,0.98305821,0.911161731,0.869565217,0.989250042,,,,,,
105,0.98305821,0.911161731,0.869565217,0.989388534,,,,,,
106,0.983492615,0.913636364,0.873913043,0.989315091,,,,,,
107,0.983492615,0.913636364,0.873913043,0.989529125,,,,,,
108,0.983492615,0.913636364,0.873913043,0.989514437,,,,,,
109,0.983492615,0.913636364,0.873913043,0.989403223,,,,,,
110,0.98392702,0.91571754,0.873913043,0.989380141,,,,,,
111,0.983492615,0.913636364,0.873913043,0.989537519,,,,,,
112,0.983492615,0.913636364,0.873913043,0.989745258,,,,,,
113,0.983492615,0.913636364,0.873913043,0.989676011,,,,,,
114,0.98392702,0.91571754,0.873913043,0.989629847,,,,,,
115,0.98305821,0.911161731,0.869565217,0.989564798,,,,,,
116,0.983492615,0.913636364,0.873913043,0.989436797,,,,,,
117,0.983492615,0.913636364,0.873913043,0.98934237,,,,,,
118,0.983492615,0.913636364,0.873913043,0.989350764,,,,,,
119,0.983492615,0.913636364,0.873913043,0.989319288,,,,,,
120,0.983492615,0.913636364,0.873913043,0.989636142,,,,,,
121,0.983492615,0.913636364,0.873913043,0.989730569,,,,,,
122,0.983492615,0.913636364,0.873913043,0.989736864,,,,,,
123,0.983492615,0.913636364,0.873913043,0.989676011,,,,,,
124,0.98305821,0.911564626,0.873913043,0.989638241,,,,,,
125,0.98305821,0.911564626,0.873913043,0.989661323,,,,,,
126,0.983492615,0.913636364,0.873913043,0.989627749,,,,,,
127,0.98392702,0.91571754,0.873913043,0.98957529,,,,,,
128,0.983492615,0.913636364,0.873913043,0.98957529,,,,,,
129,0.98305821,0.911161731,0.869565217,0.989524929,,,,,,
