n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,split_label,overfit_auc
375,0.065,0.6,0.2,0.2,1.0,0.0007961895438787285,1.0,1.0,1.0,1.0,0.9809144512258199,0.08370884158537274,0.9850162866449511,0.9517241379310345,0.8961038961038961,0.9230769230769231,0.9803590514835938,0.08832466863439331,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.019085548774180117
395,0.065,0.6,0.2,0.2,1.0,0.0006110076907191315,1.0,1.0,1.0,1.0,0.9807592841626152,0.08589978037178343,0.9850162866449511,0.9517241379310345,0.8961038961038961,0.9230769230769231,0.9799854336331735,0.09112593399262586,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.019240715837384847
355,0.065,0.6,0.2,0.2,1.0,0.001000914044928308,1.0,1.0,1.0,1.0,0.9805947130349738,0.08208347968443837,0.9850162866449511,0.9517241379310345,0.8961038961038961,0.9230769230769231,0.980775233392923,0.0852577538221757,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.01940528696502619
365,0.065,0.6,0.2,0.2,1.0,0.0008961217696142748,1.0,1.0,1.0,1.0,0.9807263699370868,0.08270644460535662,0.9850162866449511,0.9517241379310345,0.8961038961038961,0.9230769230769231,0.9804110742222601,0.08705616350045896,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.01927363006291316
245,0.0183,0.8,0.1,0.1,0.9995226841690348,0.05138856802699452,0.9913624511082139,0.9320987654320988,0.9853181076672104,0.9579698651863601,0.9832728776288834,0.07213802940940255,0.984375,0.9333333333333333,0.9090909090909091,0.9210526315789473,0.9821452064577969,0.08209644332568275,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.0162498065401514
225,0.02,0.8,0.1,0.1,0.9995610821009812,0.05047348871925859,0.991199478487614,0.9293394777265745,0.9869494290375204,0.9572784810126582,0.9844945213975604,0.07239755803629834,0.984375,0.9333333333333333,0.9090909090909091,0.9210526315789473,0.9827842201214128,0.08025761693433577,0.9791666666666666,0.8860759493670886,0.9090909090909091,0.8974358974358975,80/10/10,0.015066560703420717
375,0.0113,0.8,0.1,0.1,0.9994125116412192,0.055938487057437425,0.9903846153846154,0.9287925696594427,0.9787928221859706,0.9531374106433678,0.982164000977315,0.0763085225155951,0.984375,0.9333333333333333,0.9090909090909091,0.9210526315789473,0.9829533707970755,0.08437559085399075,0.9817708333333334,0.8987341772151899,0.922077922077922,0.9102564102564102,80/10/10,0.017248510663904204
215,0.02,0.8,0.1,0.1,0.999525047118693,0.05270495253687675,0.9907105606258149,0.9276923076923077,0.9836867862969005,0.9548693586698337,0.9846824665927416,0.07383583653874233,0.984375,0.9333333333333333,0.9090909090909091,0.9210526315789473,0.983197699550811,0.08207495122088579,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.014842580525951443
65,0.06,0.8,0.1,0.1,0.9992999761637453,0.06116737025024912,0.9897327249022164,0.9243827160493827,0.9771615008156607,0.9500396510705789,0.978856165542128,0.08118393494917896,0.984375,0.9333333333333333,0.9090909090909091,0.9210526315789473,0.9861672336346722,0.08377876595805007,0.9817708333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,80/10/10,0.020443810621617375
385,0.065,0.6,0.2,0.2,1.0,0.0007008502142957069,1.0,1.0,1.0,1.0,0.9809614715480031,0.08488976892786444,0.9843648208469056,0.9452054794520548,0.8961038961038961,0.92,0.9800327270319609,0.0900149575275891,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.01903852845199694
