n_estimators,learning_rate,max_depth,num_leaves,val_auc
350,0.0013,10,50,0.9834308207335467
350,0.0013,10,80,0.9833204576389655
350,0.0013,12,31,0.9830739800610675
350,0.0013,12,50,0.983739837398374
350,0.0013,12,80,0.9842916528712798
375,0.0013,8,31,0.9835779715263215
375,0.0013,8,50,0.9835007173601148
375,0.0013,8,80,0.9835007173601148
375,0.0013,10,31,0.9806386344406431
375,0.0013,10,50,0.9838060552551227
375,0.0013,10,80,0.983769267556929
375,0.0013,12,31,0.9831401979178163
375,0.0013,12,50,0.9839899937460913
375,0.0013,12,80,0.9844461612036934
400,0.0013,8,31,0.9834676084317405
400,0.0013,8,50,0.9834013905749917
400,0.0013,8,80,0.9834013905749917
400,0.0013,10,31,0.9807563550748629
400,0.0013,10,50,0.9839164183497038
400,0.0013,10,80,0.9838354854136777
400,0.0013,12,31,0.9834197844240886
400,0.0013,12,50,0.984085641761395
400,0.0013,12,80,0.9845050215208034
25,0.0016,8,31,0.9817165139977191
25,0.0016,8,50,0.9836883346209027
25,0.0016,8,80,0.9836883346209027
25,0.0016,10,31,0.9790052606408416
25,0.0016,10,50,0.9822462568517089
25,0.0016,10,80,0.9822683294706249
25,0.0016,12,31,0.9806055255122686
25,0.0016,12,50,0.98417393223706
25,0.0016,12,80,0.9839090608100651
50,0.0016,8,31,0.9807048522973917
50,0.0016,8,50,0.9813008130081301
50,0.0016,8,80,0.9813008130081301
50,0.0016,10,31,0.9788765036971636
50,0.0016,10,50,0.9811279108266195
50,0.0016,10,80,0.9812603465401168
50,0.0016,12,31,0.9822057903836957
50,0.0016,12,50,0.9829672957363057
50,0.0016,12,80,0.9832100945443843
75,0.0016,8,31,0.9818489497112165
75,0.0016,8,50,0.9825368796674392
75,0.0016,8,80,0.9825368796674392
75,0.0016,10,31,0.9797888386123679
75,0.0016,10,50,0.9818084832432036
75,0.0016,10,80,0.9818747010999521
75,0.0016,12,31,0.9810396203509546
75,0.0016,12,50,0.9828127874038921
75,0.0016,12,80,0.9831880219254682
100,0.0016,8,31,0.9809218997167348
100,0.0016,8,50,0.9817275503071773
100,0.0016,8,80,0.9817275503071773
100,0.0016,10,31,0.9793326711547657
100,0.0016,10,50,0.9810065114225803
100,0.0016,10,80,0.9810800868189677
100,0.0016,12,31,0.9808520030901666
100,0.0016,12,50,0.9824118014935805
100,0.0016,12,80,0.9828973991097377
125,0.0016,8,31,0.9818563072508554
125,0.0016,8,50,0.9823161534782768
125,0.0016,8,80,0.9823161534782767
125,0.0016,10,31,0.9792443806791009
125,0.0016,10,50,0.9808667181694442
125,0.0016,10,80,0.9808814332487216
125,0.0016,12,31,0.9812198800721039
125,0.0016,12,50,0.9823602987161093
125,0.0016,12,80,0.9831696280763712
150,0.0016,8,31,0.9824154802633999
150,0.0016,8,50,0.9829121141890151
150,0.0016,8,80,0.9829121141890151
150,0.0016,10,31,0.9789831880219255
150,0.0016,10,50,0.9809770812640253
