n_estimators,learning_rate,val_auc,test_accuracy,test_f1,test_recall,test_auc
100,0.001,0.9813081705477688,0.9543973941368078,0.8033707865168539,0.934640522875817,0.9877841150932153
110,0.001,0.981212522532465,0.955700325732899,0.807909604519774,0.934640522875817,0.9876895282956405
120,0.001,0.9811463046757164,0.955700325732899,0.807909604519774,0.934640522875817,0.9880678754859397
130,0.001,0.9809402935658316,0.9563517915309446,0.8101983002832861,0.934640522875817,0.9881766503031507
140,0.001,0.9804988411875069,0.9563517915309446,0.8101983002832861,0.934640522875817,0.9881908383227869
150,0.001,0.9809108634072765,0.9563517915309446,0.8101983002832861,0.934640522875817,0.9881482742638783
160,0.001,0.9807195673766693,0.9570032573289903,0.8125,0.934640522875817,0.9881790149730901
170,0.001,0.9807416399955855,0.9563517915309446,0.8101983002832861,0.934640522875817,0.9880891575153941
180,0.001,0.9806459919802819,0.9563517915309446,0.8101983002832861,0.934640522875817,0.988032405436849
190,0.001,0.9804179082514807,0.9570032573289903,0.8125,0.934640522875817,0.9878385025018208
200,0.001,0.9804804473384099,0.9576547231270358,0.8148148148148148,0.934640522875817,0.9877817504232759
210,0.001,0.9803553691645513,0.9576547231270358,0.8148148148148148,0.934640522875817,0.9878432318416994
220,0.001,0.9802891513078027,0.9576547231270358,0.8148148148148148,0.934640522875817,0.9876824342858224
230,0.001,0.9804068719420227,0.9576547231270358,0.8148148148148148,0.934640522875817,0.9876375055569744
240,0.001,0.98048044733841,0.9583061889250815,0.8160919540229885,0.9281045751633987,0.9874483319618248
250,0.001,0.9804142294816613,0.9583061889250815,0.8171428571428572,0.934640522875817,0.9873206397850988
260,0.001,0.9803480116249126,0.958957654723127,0.8194842406876791,0.934640522875817,0.9871787595887366
270,0.001,0.9803443328550934,0.958957654723127,0.8194842406876791,0.934640522875817,0.9872165943077665
280,0.001,0.9806607070595593,0.958957654723127,0.8194842406876791,0.934640522875817,0.9871361955298279
290,0.001,0.9811757348342713,0.9596091205211726,0.8218390804597702,0.934640522875817,0.9871834889286154
300,0.001,0.9816392598315123,0.9615635179153095,0.8289855072463768,0.934640522875817,0.9871787595887366
310,0.001,0.9818526284810359,0.9609120521172638,0.8255813953488372,0.9281045751633987,0.9872969930857051
320,0.001,0.9822278630026119,0.9609120521172638,0.8255813953488372,0.9281045751633987,0.9874152265826736
330,0.001,0.9823602987161093,0.9609120521172638,0.8255813953488372,0.9281045751633987,0.98731591044522
