n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,n_train,n_val,n_test,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,overfit_auc,overfit_logloss,split_label,config_label
285,0.01,0.8,0.1,0.1,6136,768,768,0.9981608867441183,0.09137693165478303,0.9872881355932204,0.9071537290715372,0.9722675367047309,0.9385826771653544,0.9795891518033341,0.10361351438441596,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9863739733493713,0.11230502872886776,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,0.018571734940784235,0.012236582729632933,80/10/10,n=285 lr=0.01 split=80/10/10
255,0.01,0.8,0.1,0.1,6136,768,768,0.9965915928023371,0.10537394630604241,0.9866362451108214,0.9016641452344932,0.9722675367047309,0.9356357927786499,0.9798992613753829,0.1150588381954894,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9880842746255192,0.12351113594074464,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,0.016692331426954254,0.00968489188944699,80/10/10,n=255 lr=0.01 split=80/10/10
270,0.01,0.8,0.1,0.1,6136,768,768,0.9976301091771351,0.09818459641464143,0.9867992177314211,0.9030303030303031,0.9722675367047309,0.9363707776904949,0.9799838367132143,0.10909144379270559,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9872761102862405,0.1175527613613132,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,0.01764627246392081,0.01090684737806416,80/10/10,n=270 lr=0.01 split=80/10/10
75,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,0.004658185797849532,1.0,1.0,1.0,1.0,0.9827764559842764,0.06924866999100157,0.9830618892508143,0.9324324324324325,0.8961038961038961,0.9139072847682119,0.9828797896389622,0.07315354100051266,0.9811074918566776,0.9246575342465754,0.8823529411764706,0.903010033444816,0.01722354401572357,0.06459048419315204,60/20/20,n=75 lr=0.2 split=60/20/20
270,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,4.5063612737956055e-06,1.0,1.0,1.0,1.0,0.9812812097388492,0.13850827732263066,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9798104480576602,0.14103144284688213,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.018718790261150753,0.13850377096135685,60/20/20,n=270 lr=0.2 split=60/20/20
255,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,5.711324276061657e-06,1.0,1.0,1.0,1.0,0.9811965731589193,0.13584446060796196,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9794888529459058,0.13933100398015172,0.9824104234527687,0.95,0.869281045751634,0.9078498293515358,0.018803426841080717,0.1358387492836859,60/20/20,n=255 lr=0.2 split=60/20/20
240,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,7.749234485571191e-06,1.0,1.0,1.0,1.0,0.9810931284501161,0.13206027322622133,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9792523859519688,0.13588630609040872,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.018906871549883908,0.13205252399173575,60/20/20,n=240 lr=0.2 split=60/20/20
135,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,0.0003542304201916606,1.0,1.0,1.0,1.0,0.982320358859099,0.0919976770013827,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9785098795910067,0.09811039264671516,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,0.017679641140901037,0.09164344658119104,60/20/20,n=135 lr=0.2 split=60/20/20
150,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,0.00018646140635670064,1.0,1.0,1.0,1.0,0.9816526702840968,0.09879071869344651,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9787416172450648,0.10489325904295653,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,0.01834732971590325,0.09860425728708981,60/20/20,n=150 lr=0.2 split=60/20/20
180,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,5.665872550981753e-05,1.0,1.0,1.0,1.0,0.9813564422543424,0.1106253525408634,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9774599661379264,0.11648591954164876,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.018643557745657624,0.11056869381535359,60/20/20,n=180 lr=0.2 split=60/20/20
165,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,9.895963931930973e-05,1.0,1.0,1.0,1.0,0.9820194287971261,0.10400966820109224,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9788976854610634,0.11070873956988339,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.017980571202873885,0.10391070856177292,60/20/20,n=165 lr=0.2 split=60/20/20
300,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,3.3270131021797285e-06,1.0,1.0,1.0,1.0,0.9817232007673717,0.14259768847619667,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9801556898688081,0.14402954693044376,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.01827679923262826,0.14259436146309448,60/20/20,n=300 lr=0.2 split=60/20/20
285,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,3.7839787528342822e-06,1.0,1.0,1.0,1.0,0.9814598869631456,0.14048585582985898,0.9824104234527687,0.9379310344827586,0.8831168831168831,0.9096989966555183,0.9799712456135373,0.1429205439828838,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.018540113036854433,0.14048207185110614,60/20/20,n=285 lr=0.2 split=60/20/20
225,0.01,0.8,0.1,0.1,6136,768,768,0.995535501989456,0.12169196243036517,0.9856584093872229,0.8947368421052632,0.9706362153344209,0.9311424100156495,0.9797864942582742,0.12937668902996655,0.9817708333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9897945759016671,0.13697531087260342,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,0.015749007731181708,0.007684726599601371,80/10/10,n=225 lr=0.01 split=80/10/10
240,0.01,0.8,0.1,0.1,6136,768,768,0.9961052682257999,0.11318346570140468,0.9859843546284224,0.8974358974358975,0.9706362153344209,0.932601880877743,0.9792602477117671,0.12197150552310831,0.9817708333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.988911233484316,0.1299298463947078,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,0.016845020514032805,0.008788039821703633,80/10/10,n=240 lr=0.01 split=80/10/10
210,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,1.755975803456819e-05,1.0,1.0,1.0,1.0,0.9813846544476523,0.12349983093010246,0.9824104234527687,0.9440559440559441,0.8766233766233766,0.9090909090909091,0.9791719871740303,0.12738533327179746,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.018615345552347673,0.12348227117206789,60/20/20,n=210 lr=0.2 split=60/20/20
225,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,1.1611891020508936e-05,1.0,1.0,1.0,1.0,0.9813470381899058,0.1279263725959279,0.9824104234527687,0.9440559440559441,0.8766233766233766,0.9090909090909091,0.978959166879487,0.1332067843477181,0.9824104234527687,0.95,0.869281045751634,0.9078498293515358,0.018652961810094237,0.1279147607049074,60/20/20,n=225 lr=0.2 split=60/20/20
195,0.2,0.6,0.2,0.2,4602,1535,1535,1.0,3.177368629928279e-05,1.0,1.0,1.0,1.0,0.9806370313249386,0.11828460488198322,0.9817589576547231,0.9375,0.8766233766233766,0.9060402684563759,0.9784767742118555,0.12078258091043445,0.9830618892508143,0.950354609929078,0.8758169934640523,0.9115646258503401,0.019362968675061376,0.11825283119568394,60/20/20,n=195 lr=0.2 split=60/20/20
150,0.05,0.8,0.1,0.1,6136,768,768,0.9999636696490044,0.025319282825741807,0.9964146023468058,0.9653543307086614,1.0,0.9823717948717948,0.9815625763527355,0.06656522962400076,0.9817708333333334,0.9436619718309859,0.8701298701298701,0.9054054054054054,0.9820324393406883,0.0627307427208536,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.018401093296268933,0.04124594679825895,80/10/10,n=150 lr=0.05 split=80/10/10
75,0.1,0.8,0.1,0.1,6136,768,768,0.9999825732462705,0.02309139368460567,0.9973924380704041,0.9745627980922098,1.0,0.9871175523349437,0.9799274531546601,0.06500197836235139,0.9817708333333334,0.9436619718309859,0.8701298701298701,0.9054054054054054,0.9845321104365967,0.06364014424203478,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.020055120091610368,0.04191058467774572,80/10/10,n=75 lr=0.1 split=80/10/10
165,0.05,0.8,0.1,0.1,6136,768,768,0.9999914343074888,0.020879417915592644,0.9978813559322034,0.9792332268370607,1.0,0.9895076674737692,0.9812618640404459,0.0662205518371671,0.9817708333333334,0.9436619718309859,0.8701298701298701,0.9054054054054054,0.9810927133647828,0.06154809041727899,0.9817708333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.018729570267042916,0.04534113392157446,80/10/10,n=165 lr=0.05 split=80/10/10
45,0.2,0.7,0.15,0.15,5370,1151,1151,0.9999996146912078,0.015447915330176342,0.9986964618249534,0.9871323529411765,1.0,0.9935245143385754,0.965150243411113,0.07570185766293332,0.9817549956559514,0.9433962264150944,0.8695652173913043,0.9049773755656109,0.9786721504112806,0.06525669103247282,0.9817549956559514,0.9351851851851852,0.8782608695652174,0.905829596412556,0.0348493712800948,0.06025394233275697,70/15/15,n=45 lr=0.2 split=70/15/15
300,0.1,0.6,0.2,0.2,4602,1535,1535,1.0,0.0002712942403528011,1.0,1.0,1.0,1.0,0.982668309243255,0.09307111146933342,0.9811074918566776,0.9194630872483222,0.8896103896103896,0.9042904290429042,0.9768877160125989,0.103085881841995,0.9817589576547231,0.9370629370629371,0.8758169934640523,0.9054054054054054,0.01733169075674501,0.09279981722898062,60/20/20,n=300 lr=0.1 split=60/20/20
