n_estimators,rf_accuracy,rf_f1,rf_recall,rf_auc,lgbm_accuracy,lgbm_f1,lgbm_recall,lgbm_auc,hyb_accuracy,hyb_f1,hyb_recall,hyb_auc
50,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9881819707906665,0.9687228496959166,0.8536585365853658,0.9130434782608695,0.9840828017458452,0.973501303214596,0.8721174004192872,0.9043478260869565,0.9873908846734933
51,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9881169212690951,0.9682884448305821,0.8519269776876268,0.9130434782608695,0.9841447037099211,0.9730668983492615,0.8702928870292888,0.9043478260869565,0.987300654691959
52,0.9821894005212859,0.9070294784580499,0.8695652173913043,0.9882575121705557,0.9687228496959166,0.8536585365853658,0.9130434782608695,0.9851875944267249,0.9730668983492615,0.8702928870292888,0.9043478260869565,0.9874811146550275
53,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9881672821890215,0.9691572545612511,0.8553971486761711,0.9130434782608695,0.9848308712439147,0.973501303214596,0.8721174004192872,0.9043478260869565,0.9873258351519222
54,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9881169212690953,0.9682884448305821,0.8519269776876268,0.9130434782608695,0.9848833305355045,0.973501303214596,0.8721174004192872,0.9043478260869565,0.9872943595769681
55,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9880329864025517,0.9682884448305821,0.8513238289205702,0.908695652173913,0.9845496894409937,0.973501303214596,0.8721174004192872,0.9043478260869565,0.9871222931005539
56,0.9830582102519548,0.9119638826185101,0.8782608695652174,0.9879469531643444,0.9682884448305821,0.8513238289205702,0.908695652173913,0.9843608359912708,0.973501303214596,0.8721174004192872,0.9043478260869565,0.9868872754742319
57,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9885575793184489,0.9691572545612511,0.8553971486761711,0.9130434782608695,0.9846923787141179,0.9730668983492615,0.8702928870292888,0.9043478260869565,0.9872544905153601
58,0.9821894005212859,0.9070294784580499,0.8695652173913043,0.9885554809467852,0.9695916594265855,0.8571428571428571,0.9130434782608695,0.9845035252643948,0.9739357080799305,0.8744769874476988,0.908695652173913,0.9871264898438811
59,0.9821894005212859,0.9070294784580499,0.8695652173913043,0.9884673493369146,0.9687228496959166,0.8530612244897959,0.908695652173913,0.9847322477757261,0.974370112945265,0.8763102725366876,0.908695652173913,0.9871076044989088
60,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.988547087460131,0.9682884448305821,0.8507157464212679,0.9043478260869565,0.9848329696155784,0.974370112945265,0.8763102725366876,0.908695652173913,0.9871873426221252
61,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9885491858317945,0.9695916594265855,0.8571428571428571,0.9130434782608695,0.985513891220413,0.9739357080799305,0.8739495798319328,0.9043478260869565,0.98722511331207
62,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9884631525935874,0.9691572545612511,0.8548057259713702,0.908695652173913,0.9855726456269935,0.9739357080799305,0.8739495798319328,0.9043478260869565,0.9871705556488165
63,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9886394158133289,0.9695916594265855,0.8565573770491803,0.908695652173913,0.9855285798220581,0.9739357080799305,0.8739495798319328,0.9043478260869565,0.987311146550277
64,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9887065637065637,0.9704604691572546,0.860655737704918,0.9130434782608695,0.9854845140171227,0.974370112945265,0.8763102725366876,0.908695652173913,0.9873300318952494
65,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.98859325163673,0.9700260642919201,0.8583162217659137,0.908695652173913,0.9853691035756253,0.9748045178105995,0.8781512605042017,0.908695652173913,0.987250293772033
66,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9886792848749372,0.970894874022589,0.8618556701030928,0.908695652173913,0.9854824156454591,0.974370112945265,0.8757894736842106,0.9043478260869565,0.9874244586201109
67,0.9830582102519548,0.9111617312072893,0.8695652173913043,0.9887946953164345,0.970894874022589,0.8618556701030928,0.908695652173913,0.9853082507973813,0.9752389226759339,0.879492600422833,0.9043478260869565,0.9872377035420514
68,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9887149571932181,0.970894874022589,0.8618556701030928,0.908695652173913,0.9851928403558837,0.9752389226759339,0.879492600422833,0.9043478260869565,0.9871789491354709
69,0.9821894005212859,0.9070294784580499,0.8695652173913043,0.9886855799899278,0.970894874022589,0.8618556701030928,0.908695652173913,0.9854299563538694,0.9752389226759339,0.88,0.908695652173913,0.9873384253819036
70,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9887107604498908,0.9721980886185926,0.8672199170124482,0.908695652173913,0.9851645123384254,0.9765421372719374,0.885593220338983,0.908695652173913,0.9872901628336411
71,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.988654104414974,0.9717636837532581,0.865424430641822,0.908695652173913,0.9852400537183146,0.976107732406603,0.8837209302325582,0.908695652173913,0.9871705556488165
72,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9887779083431258,0.972632493483927,0.8690228690228691,0.908695652173913,0.9854100218230653,0.9765421372719374,0.885593220338983,0.908695652173913,0.9874874097700185
73,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889059090146047,0.972632493483927,0.8690228690228691,0.908695652173913,0.9852904146382407,0.9769765421372719,0.8874734607218684,0.908695652173913,0.987449639080074
74,0.9821894005212859,0.90744920993228,0.8739130434782608,0.988924794359577,0.9730668983492615,0.8713692946058091,0.9130434782608695,0.9852967097532316,0.9769765421372719,0.8874734607218684,0.908695652173913,0.9874370488500923
75,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9888954171562868,0.9730668983492615,0.8713692946058091,0.9130434782608695,0.985412120194729,0.9769765421372719,0.8874734607218684,0.908695652173913,0.9875251804599632
76,0.9826238053866203,0.9099099099099099,0.8782608695652174,0.9888975155279504,0.9739357080799305,0.875,0.9130434782608695,0.9853113983548767,0.9774109470026064,0.8893617021276595,0.908695652173913,0.9874664260533826
77,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889667617928488,0.9739357080799305,0.875,0.9130434782608695,0.9857142857142858,0.977845351867941,0.8912579957356077,0.908695652173913,0.9875251804599631
78,0.9826238053866203,0.9099099099099099,0.8782608695652174,0.9888975155279502,0.9748045178105995,0.8791666666666667,0.9173913043478261,0.9856933019976499,0.9782797567332754,0.8931623931623932,0.908695652173913,0.9874706227967098
79,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889709585361759,0.9748045178105995,0.8791666666666667,0.9173913043478261,0.9854834648312909,0.9782797567332754,0.8931623931623932,0.908695652173913,0.9874517374517374
80,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889478764478765,0.9748045178105995,0.8791666666666667,0.9173913043478261,0.9853890381064294,0.977845351867941,0.8912579957356077,0.908695652173913,0.9873824911868391
81,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889667617928487,0.974370112945265,0.8768267223382046,0.9130434782608695,0.9853260869565218,0.9782797567332754,0.8931623931623932,0.908695652173913,0.987474819540037
82,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889520731912036,0.9748045178105995,0.8786610878661087,0.9130434782608695,0.9851938895417156,0.9787141615986099,0.8955223880597015,0.9130434782608695,0.9874349504784289
83,0.9821894005212859,0.90744920993228,0.8739130434782608,0.989231156622461,0.9748045178105995,0.8791666666666667,0.9173913043478261,0.9852001846567064,0.977845351867941,0.8912579957356077,0.908695652173913,0.9876259022998153
84,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9891556152425718,0.9748045178105995,0.8791666666666667,0.9173913043478261,0.985314545912372,0.9782797567332754,0.8936170212765957,0.9130434782608695,0.9875965250965251
85,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9891745005875441,0.974370112945265,0.8768267223382046,0.9130434782608695,0.9853145459123719,0.977845351867941,0.8912579957356077,0.908695652173913,0.9875629511499077
86,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9891262380392816,0.9752389226759339,0.8810020876826722,0.9173913043478261,0.9855380224945443,0.977845351867941,0.8912579957356077,0.908695652173913,0.9875881316098708
87,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9890716803760282,0.9752389226759339,0.8810020876826722,0.9173913043478261,0.9853575625314756,0.977845351867941,0.8912579957356077,0.908695652173913,0.987382491186839
88,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9891136478093,0.9756733275412685,0.8828451882845189,0.9173913043478261,0.9858024173241565,0.977845351867941,0.8912579957356077,0.908695652173913,0.9875902299815342
89,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9890318113144201,0.9756733275412685,0.8828451882845189,0.9173913043478261,0.9860290414638242,0.977845351867941,0.8907922912205567,0.9043478260869565,0.9876112136981702
90,0.9830582102519548,0.9119638826185101,0.8782608695652174,0.9889772536511667,0.9756733275412685,0.8828451882845189,0.9173913043478261,0.9859241228806447,0.9782797567332754,0.8927038626609443,0.9043478260869565,0.9875608527782441
91,0.9830582102519548,0.9119638826185101,0.8782608695652174,0.9891682054725534,0.9756733275412685,0.8823529411764706,0.9130434782608695,0.985865368474064,0.9782797567332754,0.8927038626609443,0.9043478260869565,0.9876993453080409
