n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_auc,best_n_estimators
384,0.12693922735350563,5,71,28,0.6766643899084799,0.7080136716345716,0.14714593293581357,1.1483421326866576,0.9908866995073892,30
424,0.09704103509480792,7,137,25,0.6218950929722498,0.8324365266728688,0.00513293480481952,3.12607515487758,0.9908588562861427,24
184,0.17230420827295834,5,148,66,0.5276214086960365,0.8766105186819425,0.00021493589374191796,0.17101127000675162,0.9908588562861426,21
313,0.020596637257841055,6,49,45,0.7666402760745705,0.7524690128667982,0.00278584104078402,0.00022329832704266696,0.9908117369886486,128
456,0.14226889037900772,6,70,17,0.6247169050806954,0.7800137175150765,0.0007599397151889424,0.7892922129657697,0.9907324908974084,27
494,0.05483526024938187,5,106,19,0.8432445184319162,0.5678542216803055,0.010028568173362723,0.07762400672501242,0.9905654315699293,75
377,0.21521209900677027,5,36,26,0.7337855444699427,0.6983492911073779,0.05497380669314676,0.5858153401488184,0.9905632897836796,27
281,0.029341527565000736,4,99,25,0.5325257964926398,0.9744427686266666,6.732248920775331,1.1015056790269626,0.9905482972799315,207
287,0.07844286095082545,8,70,21,0.8378816518745296,0.6751088998791746,0.009833352535345136,1.8674067115980535,0.9905418719211823,39
473,0.2530971257241733,7,47,12,0.9494654769300903,0.7816735388300351,0.3280147265715729,8.836323044757796,0.9905311629899336,12
283,0.27191715113596837,5,51,33,0.7246440709434542,0.7072958782974688,0.005121697687094625,4.278348887943227,0.9905204540586849,19
296,0.16029622633301463,10,80,10,0.6842024717776061,0.8562105975064542,0.08111407962855502,1.4779483004766052,0.9905183122724353,11
403,0.025971500581411556,6,124,71,0.6946378355634278,0.7200222879797211,0.0013338737304996189,1.4871965746773368,0.9904947526236881,121
445,0.17261047861011852,6,60,12,0.7129925273803361,0.9472779404419388,0.0018136594688470925,1.9498370044911246,0.9904262154636967,19
352,0.12023148332496329,9,136,31,0.5759182891902822,0.6555409596251534,0.00031274604149370726,0.516432810399549,0.9903384022274577,11
352,0.10414320576741241,6,50,37,0.6500944520532987,0.6920414455522519,7.29631876238111,1.3071084954237824,0.9903127007924609,39
475,0.2442699547508817,7,98,13,0.5442360527125377,0.7631367518672262,1.834952138568673,2.574396436015348,0.9902570143499678,16
400,0.15394157794043697,6,23,99,0.9192935333529578,0.8564481975980666,0.19328930831060537,0.38334992445212046,0.9902270293424715,22
247,0.07422584565028213,5,32,27,0.7027410619415146,0.5815570335246018,0.0016503375163466304,3.4729784677048072,0.9902120368387234,66
143,0.21020297477067648,5,143,51,0.5224543393798029,0.7909981738997103,0.00021597467487230045,0.421919736556292,0.9901520668237309,12
54,0.19605575967278066,4,91,17,0.5987022707291142,0.7976349976046236,0.000358627180035126,6.219397311364428,0.9901177982437352,28
414,0.08883265057539667,7,142,50,0.7864011189373786,0.8947396579208509,0.00011955064125793879,0.21486414390677933,0.990064253587492,33
453,0.20748500780199278,8,62,17,0.6557222851772643,0.8123909733670781,0.124027174880541,4.723830901446857,0.9898907689012636,11
435,0.14093772154767975,6,130,54,0.7853976087704523,0.8234313117497919,0.00011136921307523441,0.4741659361458469,0.9897986720925251,24
82,0.23174056415419772,6,137,79,0.5544692282881589,0.7347014991058014,0.00015341073082278267,0.6690998742972254,0.9894581280788177,29
321,0.2816217908548312,8,59,10,0.7625983171300654,0.8199117411168946,0.01780292805224467,0.2498629126037328,0.9892953523238381,9
479,0.050904131025638205,7,22,61,0.6808837830192477,0.6338413443561858,0.009167785859319854,0.22111695002387038,0.9892739344613407,47
499,0.2831888152792286,7,53,52,0.8095839387020464,0.7777459525821401,0.09293509118800612,9.878241706792286,0.9892396658813452,12
386,0.12079862545201234,9,114,14,0.886062142194811,0.5049794218007405,0.0005518934470141318,0.3432932476961468,0.9891561362176055,9
217,0.18548459631907654,13,128,24,0.5631275155997221,0.7446346118562627,0.03527586559308124,2.124033165904621,0.989064039408867,12
266,0.22798956810238338,7,42,17,0.6945886583666734,0.8006215365698048,0.049892164720315296,2.0312112932261095,0.9888926965088883,17
218,0.22648248189516848,12,98,24,0.5779972601681014,0.5290418060840998,2.1423021757741068,0.10129197956845731,0.9887299207539088,30
375,0.06389105140606398,9,119,89,0.823155988156081,0.7491025122658856,0.029404436363051633,3.988150850033084,0.9885564360676804,26
299,0.02855240883979377,8,33,42,0.6438426611827259,0.7756205488166001,0.0007470791879992096,6.373679616137158,0.9885328764189334,67
428,0.11233870541627626,8,148,67,0.8981090346127321,0.8992580791328382,0.015697536189386237,0.00011638474835594288,0.9885178839151851,33
